_id,selected,DishName,DishImage,isSaved,Calories,Protein,Fats,Carbohydrates,Sodium,Calcium,Iron,QuantityRequired,type,time,__v
680534f0d035d501d3d0fbb8,Not Selected,Raw banana kofta curry (Kela kofta curry),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/raw%20banana%20kofta%20curry%20(kela%20kofta%20curry).png,false,627.27,0.62,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbcd,Not Selected,Methi malai paneer,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/methi%20malai%20paneer.png,false,194.98,7.34,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbeb,Not Selected,Russian salad,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/russian%20salad.png,false,114.83,4.26,0,0,0,0,0,280 g,Breakfast,Morning,0
680534f0d035d501d3d0fc17,Not Selected,Soft Custard (stirred),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/soft%20custard%20(stirred).png,false,109.18,5.01,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc19,Not Selected,Mango ice cream,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/mango%20ice%20cream.png,false,125.69,3.4,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc35,Not Selected,Hot vanilla souffle,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hot%20vanilla%20souffle.png,false,192.93,6.87,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc40,Not Selected,Chenna murki,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chenna%20murki.png,false,252.69,10.46,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc47,Not Selected,Onion pakora/pakoda (Pyaaz ke pakode),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/onion%20pakora/pakoda%20(pyaaz%20ke%20pakode).png,false,674.61,1.9,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc5b,Not Selected,Cheese toast,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cheese%20toast.png,false,785.37,1.98,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc8f,Not Selected,Sweet plain biscuit,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/sweet%20plain%20biscuit.png,false,380.76,5.86,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fca1,Not Selected,Peanut burfi (Moongfali ki burfi),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/peanut%20burfi%20(moongfali%20ki%20burfi).png,false,550.99,9.31,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fca8,Not Selected,Spinach burfi (Palak burfi),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spinach%20burfi%20(palak%20burfi).png,false,121.17,2.71,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcbe,Not Selected,Semolina upma (Suji/Rava upma),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/semolina%20upma%20(suji/rava%20upma).png,false,147.89,3.3,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcc2,Not Selected,Vegetable upma,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/vegetable%20upma.png,false,146.47,4.73,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcd9,Not Selected,Cream of broccoli soup,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cream%20of%20broccoli%20soup.png,false,56.14,8.97,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcdf,Not Selected,Veg paneer stew,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/veg%20paneer%20stew.png,false,145.55,6.98,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fce9,Not Selected,Cheese and tomato pancake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cheese%20and%20tomato%20pancake.png,false,147.39,5.15,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb13,Not Selected,Sweet Lassi (Meethi lassi),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/sweet%20lassi%20(meethi%20lassi).png,false,35.66,1.29,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb1a,Not Selected,Chicken sandwich,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chicken%20sandwich.png,false,253.27,13.12,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb43,Not Selected,Chicken stock,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chicken%20stock.png,false,29.88,3.69,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb51,Not Selected,Hot and sour soup,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hot%20and%20sour%20soup.png,false,31.51,3.12,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb52,Not Selected,Talaumein soup,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/talaumein%20soup.png,false,35.63,10.12,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb7f,Not Selected,Fettuccine with spinach sauce,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/fettuccine%20with%20spinach%20sauce.png,false,129.21,3.1,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb98,Not Selected,Besan kadhi with pakodies,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/besan%20kadhi%20with%20pakodies.png,false,403.35,1.64,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb9a,Not Selected,Sprouted moong dal chat,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/sprouted%20moong%20dal%20chat.png,false,32.47,1.35,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbaa,Not Selected,Stuffed brinjal (Bharwa baingan),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/stuffed%20brinjal%20(bharwa%20baingan).png,false,93,1.53,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbab,Not Selected,Stuffed tomatoes (Bharwa tamatar),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/stuffed%20tomatoes%20(bharwa%20tamatar).png,false,93.35,3.28,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbb6,Not Selected,Paneer kofta curry,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/paneer%20kofta%20curry.png,false,670.91,2.39,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbb7,Not Selected,Lotus stem kofta curry (Kamal kakdi kofta curry),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/lotus%20stem%20kofta%20curry%20(kamal%20kakdi%20kofta%20curry).png,false,633.56,0.96,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbb9,Not Selected,Cauliflower kofta curry (Phoolgobhi kofta curry),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cauliflower%20kofta%20curry%20(phoolgobhi%20kofta%20curry).png,false,641.1,1.04,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbd1,Not Selected,Roghan josh,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/roghan%20josh.png,false,139.59,9.56,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbd8,Not Selected,Mutton do piaza,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/mutton%20do%20piaza.png,false,183.3,9.39,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbe7,Not Selected,Baked fish with cheese sauce,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/baked%20fish%20with%20cheese%20sauce.png,false,113.96,8.64,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbee,Not Selected,Hawain salad,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hawain%20salad.png,false,175.23,4.27,0,0,0,0,0,280 g,Breakfast,Morning,0
680534f0d035d501d3d0fbf4,Not Selected,Waldroff salad,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/waldroff%20salad.png,false,141.75,1.47,0,0,0,0,0,280 g,Breakfast,Morning,0
680534f0d035d501d3d0fbf7,Not Selected,Tomato onion raita (Tamatar aur pyaaz ka raita),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/tomato%20onion%20raita%20(tamatar%20aur%20pyaaz%20ka%20raita).png,false,59,3.74,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc0d,Not Selected,Phirni,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/phirni.png,false,116.12,3.49,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc1f,Not Selected,Chocolate souffle,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chocolate%20souffle.png,false,189.32,7.88,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc25,Not Selected,Charlotte rousse,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/charlotte%20rousse.png,false,188.29,3.95,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc43,Not Selected,Gulab Jamun with khoya,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/gulab%20jamun%20with%20khoya.png,false,586.06,2.03,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc5f,Not Selected,Masala vada,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/masala%20vada.png,false,826.02,1.69,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc70,Not Selected,Minced meat pie,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/minced%20meat%20pie.png,false,221.55,7.38,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc7b,Not Selected,Hot fish souffle,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hot%20fish%20souffle.png,false,142.92,11.23,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc80,Not Selected,Chocolate cake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chocolate%20cake.png,false,335.61,6.01,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc8e,Not Selected,Chocolate chip cookies,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chocolate%20chip%20cookies.png,false,425.29,5.79,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc93,Not Selected,Peanut biscuit,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/peanut%20biscuit.png,false,401.05,8.45,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcb5,Not Selected,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/banana%20milkshake%20with%20ice%20cream%20(kele%20ka%20milkshake%20ice%20cream%20ke%20saath).png,false,76.45,2.01,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcb8,Not Selected,Gingo,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/gingo.png,false,48.02,0.14,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcc6,Not Selected,Paneer stuffed cheela/chilla,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/paneer%20stuffed%20cheela/chilla.png,false,205.19,11.44,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fccf,Not Selected,White stock,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/white%20stock.png,false,6.99,0.07,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcec,Not Selected,Kashmiri 'tahar',https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/kashmiri%20'tahar'.png,false,98.21,1.95,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fcef,Not Selected,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/split%20bengal%20gram%20dal%20and%20vegetable%20pulao%20(channa%20dal%20and%20vegetable%20pulao).png,false,116.53,3.6,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb00,Not Selected,Hot tea (Garam Chai),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hot%20tea%20(garam%20chai).png,false,16.14,0.39,0,0,0,0,0,200 ml,Breakfast,Morning,0
680534f0d035d501d3d0fb01,Not Selected,Instant coffee,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/instant%20coffee.png,false,23.16,0.64,0,0,0,0,0,200 ml,Breakfast,Morning,0
680534f0d035d501d3d0fb03,Not Selected,Iced tea,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/iced%20tea.png,false,10.34,0.03,0,0,0,0,0,200 ml,Breakfast,Morning,0
